Jason Dufner,-695.5611468563342
Jim Furyk,-1391.1222937126684
Henrik Stenson,-695.5611468563342
Jonas Blixt,-695.5611468563342
Adam Scott,-695.5611468563342
Scott Piercy,-1391.1222937126684
David Toms,-1391.1222937126684
Dustin Johnson,-2086.6834405690024
Jason Day,-695.5611468563342
Rory McIlroy,-695.5611468563342
Zach Johnson,-695.5611468563342
Marc Leishman,-695.5611468563342
Steve Stricker,-695.5611468563342
Graeme McDowell,-1391.1222937126684
Kevin Streelman,-695.5611468563342
Roberto Castro,-2086.6834405690024
Boo Weekley,-1391.1222937126684
Marc Warren,-695.5611468563342
Hideki Matsuyama,-1391.1222937126684
Rickie Fowler,-695.5611468563342
Keegan Bradley,-695.5611468563342
Michael Thompson,-695.5611468563342
Matt Kuchar,-1391.1222937126684
David Lynn,-695.5611468563342
Kiradech Aphibarnrat,-695.5611468563342
Robert Garrigus,-1391.1222937126684
Bill Haas,-695.5611468563342
Webb Simpson,-695.5611468563342
Rafael Cabrera Bello,-695.5611468563342
Scott Jamieson,-695.5611468563342
Ryo Ishikawa,-1391.1222937126684
Miguel Angel Jimenez,-695.5611468563342
Paul Casey,-695.5611468563342
Peter Hanson,-1391.1222937126684
Lee Westwood,-695.5611468563342
Francesco Molinari,-695.5611468563342
Martin Kaymer,-695.5611468563342
Justin Rose,-695.5611468563342
Brendon de Jonge,-1391.1222937126684
Charley Hoffman,-1391.1222937126684
J.J. Henry,-2086.6834405690024
Tiger Woods,-695.5611468563342
Thorbjorn Olesen,-695.5611468563342
Matt Jones,-695.5611468563342
Danny Willett,-695.5611468563342
D.A. Points,-1391.1222937126684
Luke Guthrie,-1391.1222937126684
Josh Teater,-695.5611468563342
David Hearn,-2086.6834405690024
Ryan Palmer,-2086.6834405690024
Marcus Fraser,-695.5611468563342
K.J. Choi,-695.5611468563342
Thongchai Jaidee,-695.5611468563342
John Merrick,-2086.6834405690024
Scott Stallings,-2086.6834405690024
Ryan Moore,-695.5611468563342
Shane Lowry,-695.5611468563342
Hunter Mahan,-1391.1222937126684
Ken Duke,-1391.1222937126684
Chris Kirk,-1391.1222937126684
Tommy Gainey,-2086.6834405690024
Sergio Garcia,-695.5611468563342
Stephen Gallacher,-695.5611468563342
Harris English,-1391.1222937126684
Ian Poulter,-1391.1222937126684
Ben Curtis,-695.5611468563342
Brandt Snedeker,-1391.1222937126684
Tim Clark,-1391.1222937126684
Vijay Singh,-1391.1222937126684
John Senden,-1391.1222937126684
Brooks Koepka,-695.5611468563342
Matteo Manassero,-695.5611468563342
Phil Mickelson,-1391.1222937126684
Gary Woodland,-2086.6834405690024
Darren Clarke,-695.5611468563342
Charl Schwartzel,-1391.1222937126684
Davis Love III,-1391.1222937126684
Woody Austin,-2086.6834405690024
Sang-Moon Bae,-1391.1222937126684
Paul Lawrie,-695.5611468563342
Bubba Watson,-1391.1222937126684
Jimmy Walker,-695.5611468563342
Mikko Ilonen,-695.5611468563342
David Muttitt,-695.5611468563342
David Lingmerth,-1391.1222937126684
Bernd Wiesberger,-695.5611468563342
Ernie Els,-1391.1222937126684
Y.E. Yang,-1391.1222937126684
Russell Henley,-1391.1222937126684
Graham DeLaet,-1391.1222937126684
Charlie Beljan,-695.5611468563342
Stewart Cink,-695.5611468563342
Hiroyuki Fujita,-695.5611468563342
Billy Horschel,-2086.6834405690024
Padraig Harrington,-1391.1222937126684
Peter Uihlein,-695.5611468563342
Brett Rumford,-695.5611468563342
Scott Brown,-2086.6834405690024
Kevin Stadler,-1391.1222937126684
Richie Ramsay,-695.5611468563342
Matt Every,-1391.1222937126684
Jeff Sorenson,-695.5611468563342
Derek Ernst,-1391.1222937126684
Geoff Ogilvy,-695.5611468563342
Alexander Noren,-695.5611468563342
J.C. Anderson,-695.5611468563342
Ryan Polzin,-695.5611468563342
George Coetzee,-1391.1222937126684
Pablo Larrazabal,-695.5611468563342
Chris Wood,-695.5611468563342
Thomas Bjorn,-695.5611468563342
Kyle Stanley,-1391.1222937126684
Rob Labritz,-695.5611468563342
Robert Gaus,-695.5611468563342
Caine Fitzgerald,-695.5611468563342
Kevin Chappell,-1391.1222937126684
Shaun Micheel,-695.5611468563342
Paul McGinley,-695.5611468563342
Mark Sheftic,-695.5611468563342
Stuart Smith,-695.5611468563342
Freddie Jacobson,-695.5611468563342
Kirk Hanefeld,-695.5611468563342
Bob Sowards,-695.5611468563342
Jeff Martin,-695.5611468563342
Sonny Skinner,-695.5611468563342
Mark Brown,-695.5611468563342
Chip Sullivan,-695.5611468563342
Lee Rhind,-695.5611468563342
Patrick Reed,-1391.1222937126684
John Rollins,-695.5611468563342
Rory Sabbatini,-1391.1222937126684
Justin Hicks,-1391.1222937126684
Shawn Stefani,-695.5611468563342
Jonathan Byrd,-695.5611468563342
Glen Day,-695.5611468563342
Robert Allenby,-1391.1222937126684
Camilo Villegas,-1391.1222937126684
Nick O'Hern,-695.5611468563342
Brendon Todd,-695.5611468563342
Jason Bohn,-1391.1222937126684
Ben Crane,-695.5611468563342
Mark Wilson,-1391.1222937126684
Doug LaBelle II,-1391.1222937126684
Tag Ridings,-1391.1222937126684
Nicholas Thompson,-1391.1222937126684
Chez Reavie,-1391.1222937126684
Brandt Jobe,-695.5611468563342
Billy Mayfair,-1391.1222937126684
Brian Davis,-695.5611468563342
Eric Meierdierks,-1391.1222937126684
Paul D. Haley,-695.5611468563342
Charles Howell III,-695.5611468563342
Brian Gay,-1391.1222937126684
Robert Streb,-1391.1222937126684
Justin Leonard,-1391.1222937126684
Stuart Appleby,-1391.1222937126684
Jim Herman,-695.5611468563342
Martin Flores,-695.5611468563342
Scott Verplank,-1391.1222937126684
Joe Affrunti,-1391.1222937126684
Tom Gillis,-1391.1222937126684
Cameron Tringale,-1391.1222937126684
Jerry Kelly,-695.5611468563342
Stephen Ames,-695.5611468563342
Steve Flesch,-695.5611468563342
Tim Petrovic,-1391.1222937126684
Brad Fritsch,-1391.1222937126684
Ben Kohles,-695.5611468563342
Bob Estes,-1391.1222937126684
Arjun Atwal,-695.5611468563342
D.J. Trahan,-1391.1222937126684
Nathan Green,-1391.1222937126684
Vaughn Taylor,-695.5611468563342
Jeff Maggert,-1391.1222937126684
Lee Williams,-695.5611468563342
Kevin Sutherland,-695.5611468563342
Andres Gonzales,-695.5611468563342
Russell Knox,-695.5611468563342
Chad Campbell,-1391.1222937126684
Jeff Overton,-695.5611468563342
John Daly,-695.5611468563342
Chase Seiffert,-695.5611468563342
Bud Cauley,-695.5611468563342
George McNeill,-1391.1222937126684
Ross Fisher,-695.5611468563342
Chip Deason,-695.5611468563342
Scott Gardiner,-1391.1222937126684
Ryuji Imada,-695.5611468563342
Greg Owen,-1391.1222937126684
Trevor Immelman,-1391.1222937126684
Fabian Gomez,-1391.1222937126684
Steve LeBrun,-1391.1222937126684
Trent Whitekiller,-695.5611468563342
Cameron Percy,-1391.1222937126684
Guan Tianlang,-695.5611468563342
Jin Park,-1391.1222937126684
Heath Slocum,-695.5611468563342
Cameron Beckman,-1391.1222937126684
Justin Bolli,-695.5611468563342
Aaron Baddeley,-1391.1222937126684
David Mathis,-1391.1222937126684
Scott McCarron,-695.5611468563342
Donald Constable,-1391.1222937126684
Ricky Barnes,-695.5611468563342
Jeff Gove,-1391.1222937126684
Charlie Holland,-695.5611468563342
Cody Gribble,-695.5611468563342
D.H. Lee,-695.5611468563342
Matthew NeSmith,-695.5611468563342
Steven Fox,-695.5611468563342
Rod Pampling,-695.5611468563342
Sean O'Hair,-695.5611468563342
Steven Bowditch,-695.5611468563342
Michael Letzig,-1391.1222937126684
Darron Stiles,-1391.1222937126684
David Duval,-695.5611468563342
Michael Bradley,-695.5611468563342
Scott Moran,-695.5611468563342
Vince Covello,-695.5611468563342
William McGirt,-695.5611468563342
Marcel Siem,-695.5611468563342
James Driscoll,-695.5611468563342
Andres Romero,-695.5611468563342
Luke List,-695.5611468563342
Jason Kokrak,-695.5611468563342
James Hahn,-695.5611468563342
Greg Chalmers,-695.5611468563342
Richard H. Lee,-695.5611468563342
Mike Weir,-695.5611468563342
Alistair Presnell,-695.5611468563342
Andrew Svoboda,-695.5611468563342
Morgan Hoffmann,-695.5611468563342
Roger Sloan,-695.5611468563342
Casey Wittenberg,-695.5611468563342
Scott Langley,-695.5611468563342
Will Claxton,-695.5611468563342
Brendan Steele,-695.5611468563342
Seung-yul Noh,-695.5611468563342
Brian Stuard,-695.5611468563342
Pat Perez,-695.5611468563342
Chris DiMarco,-695.5611468563342
Daniel Summerhays,-695.5611468563342
Charlie Wi,-695.5611468563342
Chris Stroud,-695.5611468563342
Brian Harman,-695.5611468563342
Corey Conners,-695.5611468563342
Andrew Georgiou,-695.5611468563342
Eugene Wong,-695.5611468563342
John Huh,-695.5611468563342
Peter Laws,-695.5611468563342
Jesse Smith,-695.5611468563342
Adam Svensson,-695.5611468563342
Will Collins,-695.5611468563342
Bobby Gates,-695.5611468563342
Mackenzie Hughes,-695.5611468563342
Adam Hadwin,-695.5611468563342
Albin Choi,-695.5611468563342
Billy Andrade,-695.5611468563342
Robert Karlsson,-695.5611468563342
Stephen Gangluff,-695.5611468563342
Bryn Parry,-695.5611468563342
Joey Snyder III,-695.5611468563342
Brian Hadley,-695.5611468563342
Eric Banks,-695.5611468563342
