Rory McIlroy +650,,,,,
Brooks Koepka +1000,,,,,
Tiger Woods +1000,,,,,
Jon Rahm +1200,,,,,
Justin Thomas +1200,,,,,
Dustin Johnson +1400,,,,,
Xander Schauffele +2000,,,,,
Jordan Spieth +2500,,,,,
Justin Rose +2500,,,,,
Patrick Cantlay +2500,,,,,
Adam Scott +2800,,,,,
Bryson DeChambeau +2800,,,,,
Jason Day +2800,,,,,
Patrick Reed +2800,,,,,
Rickie Fowler +2800,,,,,
Tommy Fleetwood +2800,,,,,
Bubba Watson +3300,,,,,
Hideki Matsuyama +3300,,,,,
Paul Casey +3300,,,,,
Tony Finau +3300,,,,,
Webb Simpson +3300,,,,,
Phil Mickelson +4000,,,,,
Francesco Molinari +5000,,,,,
Henrik Stenson +5000,,,,,
Louis Oosthuizen +5000,,,,,
Marc Leishman +5000,,,,,f
Matt Kuchar +5000,,,,,
Sergio Garcia +5000,,,,,
Danny Willett +6600,,,,,
Gary Woodland +6600,,,,,
Lee Westwood +6600,,,,,
Matthew Wolff +6600,,,,,
Shane Lowry +6600,,,,,
Cameron Smith +8000,,,,,
Ian Poulter +8000,,,,,
Kevin Kisner +8000,,,,,
Matthew Fitzpatrick +8000,,,,,
Si Woo Kim +8000,,,,,
Abraham Ancer +10000,,,,,
Brandt Snedeker +10000,,,,,
Jim Furyk +10000,,,,,
Alexander Noren +12500,,,,,
Branden Grace +12500,,,,,
Charl Schwartzel +12500,,,,,
Charles Howell III +12500,,,,,
Charley Hoffman +12500,,,,,
Hao Tong Li +12500,,,,,
Keegan Bradley +12500,,,,,
Matt Wallace +12500,,,,,
Rafael Cabrera Bello +12500,,,,,
Aaron Wise +15000,,,,,
Billy Horschel +15000,,,,,
Eddie Pepperell +15000,,,,,
J.B. Holmes +15000,,,,,
Jimmy Walker +15000,,,,,
Justin Harding +15000,,,,,
Lucas Bjerregaard +15000,,,,,
Thorbjorn Olesen +15000,,,,,
Tyrrell Hatton +15000,,,,,
Zach Johnson +15000,,,,,
Emiliano Grillo +17500,,,,,
Kevin Na +17500,,,,,
Kiradech Aphibarnrat +20000,,,,,
Martin Kaymer +20000,,,,,
Bernhard Langer +50000,,,,,
Fred Couples +50000,,,,,
Trevor Immelman +50000,,,,,
Vijay Singh +75000,,,,,